sample,true_study,predicted_study,correct,true_in_top5
PRJEB29433_ERR3389164,PRJEB29433,PRJEB29433,True,True
PRJNA548153_SRR9271453,PRJNA548153,PRJNA548153,True,True
PRJEB29433_ERR3387595,PRJEB29433,PRJEB29433,True,True
PRJEB38948_ERR4580299,PRJEB38948,PRJEB38948,True,True
PRJNA625181_SRR11545087,PRJNA625181,PRJNA382861,False,True
PRJNA693579_SRR13493316,PRJNA693579,PRJEB11419,False,True
PRJNA554232_SRR9683509,PRJNA554232,PRJNA481243,False,True
PRJEB26012_ERR2518550,PRJEB26012,PRJNA729511,False,True
PRJDB5316_DRR087793,PRJDB5316,PRJDB5316,True,True
PRJNA413199_SRR6147108,PRJNA413199,PRJNA481243,False,True
PRJNA428736_SRR6444405,PRJNA428736,PRJNA485797,False,True
PRJNA349463_SRR4446600,PRJNA349463,PRJNA349463,True,True
PRJEB6705_ERR561365,PRJEB6705,PRJEB6705,True,True
PRJNA231909_SRR1910693,PRJNA231909,PRJNA231909,True,True
PRJEB27068_ERR3019043,PRJEB27068,PRJEB5482,False,True
PRJEB39382_ERR4340967,PRJEB39382,PRJEB39382,True,True
PRJEB33905_ERR3471231,PRJEB33905,PRJEB33905,True,True
PRJNA709129_SRR13921665,PRJNA709129,PRJNA709129,True,True
PRJNA715072_SRR13986547,PRJNA715072,PRJNA396815,False,False
PRJNA417357_SRR6264556,PRJNA417357,PRJNA417357,True,True
PRJNA547591_SRR9292848,PRJNA547591,PRJNA547591,True,True
PRJNA661289_SRR12582195,PRJNA661289,PRJNA661289,True,True
PRJNA685746_SRR14446160,PRJNA685746,PRJNA685746,True,True
PRJEB29433_ERR3389117,PRJEB29433,PRJEB29433,True,True
PRJNA396815_SRR6867906,PRJNA396815,PRJNA396815,True,True
PRJNA475599_SRR9060997,PRJNA475599,PRJNA475599,True,True
PRJNA417357_SRR6263974,PRJNA417357,PRJNA417357,True,True
PRJNA398187_SRR6153824,PRJNA398187,PRJEB38948,False,True
PRJEB27564_ERR2730288,PRJEB27564,PRJEB27564,True,True
PRJNA544721_SRR9160295,PRJNA544721,PRJNA544721,True,True
PRJEB27564_ERR2730337,PRJEB27564,PRJEB27564,True,True
PRJNA481072_SRR7526570,PRJNA481072,PRJNA481072,True,True
PRJNA428736_SRR6443978,PRJNA428736,PRJNA428736,True,True
PRJNA495320_SRR7989368,PRJNA495320,PRJNA495320,True,True
PRJNA606262_SRR11139985,PRJNA606262,PRJNA545312,False,True
PRJNA600229_SRR10858898,PRJNA600229,PRJNA600229,True,True
PRJNA541332_SRR9019985,PRJNA541332,PRJNA541332,True,True
PRJNA548153_SRR9271351,PRJNA548153,PRJNA548153,True,True
PRJNA394877_SRR5979619,PRJNA394877,PRJNA607574,False,True
PRJEB20766_ERR1972276,PRJEB20766,PRJEB20766,True,True
PRJNA729511_SRR14990451,PRJNA729511,PRJNA729511,True,True
PRJEB27068_ERR3018755,PRJEB27068,PRJEB6358,False,True
PRJEB27068_ERR3017742,PRJEB27068,PRJEB27068,True,True
PRJNA306884_SRR3053278,PRJNA306884,PRJNA306884,True,True
PRJEB27068_ERR3019197,PRJEB27068,PRJEB27068,True,True
PRJNA450025_SRR7293502,PRJNA450025,PRJNA450025,True,True
PRJEB8463_ERR756481,PRJEB8463,PRJEB8463,True,True
PRJNA661289_SRR12582247,PRJNA661289,PRJNA661289,True,True
PRJNA606262_SRR11140323,PRJNA606262,PRJNA606262,True,True
PRJNA491825_SRR7875795,PRJNA491825,PRJNA491825,True,True
PRJEB15481_ERR1763786,PRJEB15481,PRJEB15481,True,True
PRJNA396815_SRR6867846,PRJNA396815,PRJNA396815,True,True
PRJNA685746_SRR14484626,PRJNA685746,PRJNA685746,True,True
PRJNA648321_SRR12325678,PRJNA648321,PRJNA648321,True,True
PRJDB9469_DRR243235,PRJDB9469,PRJDB9469,True,True
PRJNA428736_SRR6444797,PRJNA428736,PRJNA729511,False,True
PRJNA481413_SRR7533967,PRJNA481413,PRJNA481413,True,True
PRJEB38948_ERR4580431,PRJEB38948,PRJEB38948,True,True
PRJNA673102_SRR12950336,PRJNA673102,PRJNA673102,True,True
PRJNA382889_SRR5447225,PRJNA382889,PRJNA382889,True,True
PRJNA516932_SRR8484842,PRJNA516932,PRJNA516932,True,True
PRJNA388132_SRR5613733,PRJNA388132,PRJNA428736,False,False
PRJNA601994_SRR10911800,PRJNA601994,PRJNA601994,True,True
PRJNA339264_SRR5078675,PRJNA339264,PRJNA605031,False,False
PRJNA475599_SRR9060986,PRJNA475599,PRJNA475599,True,True
PRJNA485797_SRR7690137,PRJNA485797,PRJNA729511,False,False
PRJNA430990_SRR6498188,PRJNA430990,PRJNA430990,True,True
PRJNA328987_SRR5210683,PRJNA328987,PRJNA328987,True,True
PRJDB9936_DRR233115,PRJDB9936,PRJNA686801,False,True
PRJNA600229_SRR10858753,PRJNA600229,PRJNA600229,True,True
PRJNA562529_SRR10041962,PRJNA562529,PRJNA562529,True,True
PRJNA528344_SRR8761248,PRJNA528344,PRJNA528344,True,True
PRJEB29433_ERR3388862,PRJEB29433,PRJEB29433,True,True
PRJEB27068_ERR3018271,PRJEB27068,PRJEB27068,True,True
PRJNA607574_SRR11115180,PRJNA607574,PRJEB13896,False,True
PRJNA548153_SRR9269814,PRJNA548153,PRJNA607574,False,True
PRJNA349809_SRR4460002,PRJNA349809,PRJNA349809,True,True
PRJNA515272_SRR10886688,PRJNA515272,PRJNA515272,True,True
PRJNA339264_SRR5079188,PRJNA339264,PRJNA339264,True,True
PRJNA729511_SRR14990586,PRJNA729511,PRJNA544545,False,True
PRJEB13896_ERR1424712,PRJEB13896,PRJNA548153,False,False
PRJNA390646_SRR5699367,PRJNA390646,PRJNA390646,True,True
PRJNA657821_SRR12468394,PRJNA657821,PRJNA657821,True,True
PRJEB15481_ERR1763147,PRJEB15481,PRJNA607574,False,True
PRJNA481413_SRR7534152,PRJNA481413,PRJNA481413,True,True
PRJNA644496_SRR12418037,PRJNA644496,PRJNA644496,True,True
PRJNA607574_SRR11394954,PRJNA607574,PRJNA607574,True,True
PRJEB29433_ERR3386537,PRJEB29433,PRJEB27068,False,True
PRJNA616703_SRR11456390,PRJNA616703,PRJNA657821,False,False
PRJEB26012_ERR2519006,PRJEB26012,PRJEB26012,True,True
PRJNA726866_SRR14413694,PRJNA726866,PRJNA414072,False,True
PRJNA548153_SRR9270270,PRJNA548153,PRJNA548153,True,True
PRJNA729511_SRR14991487,PRJNA729511,PRJNA729511,True,True
PRJNA349809_SRR4460106,PRJNA349809,PRJNA349809,True,True
PRJEB16344_ERR1700335,PRJEB16344,PRJNA545312,False,True
PRJNA396815_SRR6866499,PRJNA396815,PRJNA396815,True,True
PRJNA398089_SRR6704315,PRJNA398089,PRJNA398089,True,True
PRJEB27068_ERR3017934,PRJEB27068,PRJEB29433,False,True
PRJEB5482_ERR499211,PRJEB5482,PRJEB5482,True,True
PRJNA544370_SRR9115927,PRJNA544370,PRJNA544370,True,True
PRJNA510423_SRR14431671,PRJNA510423,PRJNA510423,True,True
PRJEB6358_ERR520694,PRJEB6358,PRJEB6358,True,True
PRJEB11419_ERR5752448,PRJEB11419,PRJNA685746,False,True
PRJEB11419_ERR6149324,PRJEB11419,PRJEB11419,True,True
PRJNA414540_SRR6182390,PRJNA414540,PRJNA414540,True,True
PRJEB11419_ERR5321270,PRJEB11419,PRJEB11419,True,True
PRJNA686801_SRR13286658,PRJNA686801,PRJNA686801,True,True
PRJNA623853_SRR11510549,PRJNA623853,PRJEB33905,False,True
PRJNA606262_SRR11139834,PRJNA606262,PRJNA396815,False,True
PRJEB29433_ERR3387457,PRJEB29433,PRJEB29433,True,True
PRJNA646021_SRR12216852,PRJNA646021,PRJNA646021,True,True
PRJEB38948_ERR4580380,PRJEB38948,PRJEB38948,True,True
PRJNA368739_SRR5203011,PRJNA368739,PRJNA368739,True,True
PRJNA481243_SRR7546090,PRJNA481243,PRJNA577051,False,False
PRJNA510423_SRR8350146,PRJNA510423,PRJNA510423,True,True
PRJEB5482_ERR522120,PRJEB5482,PRJEB5482,True,True
PRJNA576314_SRR10289566,PRJNA576314,PRJNA605031,False,False
PRJNA657821_SRR12468633,PRJNA657821,PRJNA657821,True,True
PRJNA685746_SRR14485121,PRJNA685746,PRJNA685746,True,True
PRJEB28159_ERR3401537,PRJEB28159,PRJEB28159,True,True
PRJNA339264_SRR5079079,PRJNA339264,PRJNA605031,False,True
PRJNA497734_SRR8120073,PRJNA497734,PRJNA497734,True,True
PRJNA545312_SRR11414939,PRJNA545312,PRJNA548153,False,True
PRJEB35769_ERR3765310,PRJEB35769,PRJNA475599,False,False
PRJNA701368_SRR13761705,PRJNA701368,PRJNA657821,False,False
PRJNA729511_SRR14990610,PRJNA729511,PRJNA729511,True,True
PRJEB38948_ERR4348565,PRJEB38948,PRJEB38948,True,True
PRJNA396815_SRR6867032,PRJNA396815,PRJNA396815,True,True
PRJNA605031_SRR11030995,PRJNA605031,PRJNA605031,True,True
PRJNA623853_SRR11510886,PRJNA623853,PRJNA623853,True,True
PRJEB5482_ERR499182,PRJEB5482,PRJEB5482,True,True
