sample,true_study,predicted_study,correct,true_in_top5
PRJNA645223_SRR12203777,PRJNA645223,PRJNA510423,False,True
PRJNA449103_SRR6967449,PRJNA449103,PRJNA607574,False,False
PRJEB27068_ERR3019824,PRJEB27068,PRJEB27068,True,True
PRJNA544527_SRR9218636,PRJNA544527,PRJNA544527,True,True
PRJEB43667_ERR5470950,PRJEB43667,PRJEB43667,True,True
PRJNA607574_SRR11396585,PRJNA607574,PRJNA607574,True,True
PRJEB40751_ERR4672542,PRJEB40751,PRJNA417357,False,False
PRJNA232731_SRR1461658,PRJNA232731,PRJNA232731,True,True
PRJEB38948_ERR4346904,PRJEB38948,PRJEB38948,True,True
PRJEB6702_ERR560923,PRJEB6702,PRJEB11419,False,True
PRJNA414683_SRR6185169,PRJNA414683,PRJNA414683,True,True
PRJEB11419_ERR5327728,PRJEB11419,PRJEB11419,True,True
PRJNA414072_SRR6169382,PRJNA414072,PRJNA414072,True,True
PRJNA657821_SRR12466773,PRJNA657821,PRJNA554232,False,True
PRJNA685746_SRR14435978,PRJNA685746,PRJNA685746,True,True
PRJNA762195_SRR15902651,PRJNA762195,PRJNA762195,True,True
PRJNA545312_SRR11416572,PRJNA545312,PRJNA657821,False,True
PRJNA607574_SRR11117042,PRJNA607574,PRJNA607574,True,True
PRJNA685746_SRR14436510,PRJNA685746,PRJNA685746,True,True
PRJEB37877_ERR4037861,PRJEB37877,PRJEB37877,True,True
PRJNA392012_SRR5761071,PRJNA392012,PRJNA392012,True,True
PRJEB5482_ERR500730,PRJEB5482,PRJEB5482,True,True
PRJNA510423_SRR14431912,PRJNA510423,PRJNA510423,True,True
PRJNA648321_SRR12325956,PRJNA648321,PRJNA648321,True,True
PRJEB38948_ERR4346642,PRJEB38948,PRJEB38948,True,True
PRJNA559143_SRR9917718,PRJNA559143,PRJNA388132,False,False
PRJNA750230_SRR15281553,PRJNA750230,PRJNA750230,True,True
PRJNA612042_SRR11292192,PRJNA612042,PRJEB6702,False,True
PRJNA414072_SRR6167387,PRJNA414072,PRJNA414072,True,True
PRJEB27868_ERR2712648,PRJEB27868,PRJEB27868,True,True
PRJNA246121_SRR1273285,PRJNA246121,PRJNA246121,True,True
PRJNA729511_SRR14989925,PRJNA729511,PRJNA729511,True,True
PRJNA485316_SRR7735635,PRJNA485316,PRJNA485316,True,True
PRJEB27068_ERR3017967,PRJEB27068,PRJEB27068,True,True
PRJNA421286_SRR6368753,PRJNA421286,PRJNA421286,True,True
PRJEB27068_ERR3020009,PRJEB27068,PRJEB27068,True,True
PRJEB29433_ERR3387015,PRJEB29433,PRJEB29433,True,True
PRJNA685746_SRR14436405,PRJNA685746,PRJNA685746,True,True
PRJEB11419_ERR4371689,PRJEB11419,PRJEB11419,True,True
PRJNA685746_SRR14427171,PRJNA685746,PRJNA559143,False,True
PRJNA673102_SRR12950510,PRJNA673102,PRJNA673102,True,True
PRJEB27868_ERR2712428,PRJEB27868,PRJEB27868,True,True
PRJNA342173_SRR4242319,PRJNA342173,PRJNA307992,False,True
PRJNA729511_SRR14990799,PRJNA729511,PRJNA729511,True,True
PRJNA544527_SRR9219316,PRJNA544527,PRJNA544527,True,True
PRJEB42155_ERR5009683,PRJEB42155,PRJEB42155,True,True
PRJNA564636_SRR10204285,PRJNA564636,PRJNA434249,False,True
PRJNA727279_SRR14434633,PRJNA727279,PRJNA727279,True,True
PRJEB11419_ERR5332633,PRJEB11419,PRJEB11419,True,True
PRJNA616703_SRR11456349,PRJNA616703,PRJNA481243,False,True
PRJNA721421_SRR14215133,PRJNA721421,PRJNA721421,True,True
PRJEB39289_ERR4330344,PRJEB39289,PRJEB39289,True,True
PRJEB11419_ERR5325718,PRJEB11419,PRJEB11419,True,True
PRJNA544527_SRR9219330,PRJNA544527,PRJNA544527,True,True
PRJNA742936_SRR15286132,PRJNA742936,PRJNA742936,True,True
PRJNA497734_SRR8118969,PRJNA497734,PRJNA657821,False,True
PRJNA685746_SRR14446285,PRJNA685746,PRJNA685746,True,True
PRJNA693579_SRR13493537,PRJNA693579,PRJNA396815,False,False
PRJNA398187_SRR6153551,PRJNA398187,PRJNA398187,True,True
PRJEB11419_ERR5342290,PRJEB11419,PRJEB11419,True,True
PRJEB27068_ERR3019220,PRJEB27068,PRJEB27068,True,True
PRJNA528813_SRR8777259,PRJNA528813,PRJNA528813,True,True
PRJNA729511_SRR14990134,PRJNA729511,PRJNA729511,True,True
PRJNA396815_SRR6867720,PRJNA396815,PRJNA396815,True,True
PRJEB17860_ERR1745066,PRJEB17860,PRJEB17860,True,True
PRJNA559143_SRR9918006,PRJNA559143,PRJEB11419,False,True
PRJNA559803_SRR9950444,PRJNA559803,PRJEB5482,False,True
PRJNA480547_SRR7507323,PRJNA480547,PRJNA480547,True,True
PRJNA481243_SRR7547074,PRJNA481243,PRJNA481243,True,True
PRJNA625750_SRR11559693,PRJNA625750,PRJEB16344,False,True
PRJNA535518_SRR8986466,PRJNA535518,PRJNA729511,False,False
PRJNA532731_SRR8902095,PRJNA532731,PRJNA532731,True,True
PRJEB15481_ERR1763114,PRJEB15481,PRJEB15481,True,True
PRJNA727279_SRR14435350,PRJNA727279,PRJNA727279,True,True
PRJNA497734_SRR8120709,PRJNA497734,PRJNA497734,True,True
PRJNA311147_SRR4052422,PRJNA311147,PRJNA576314,False,False
PRJNA729511_SRR14991127,PRJNA729511,PRJNA729511,True,True
PRJNA509882_SRR8306584,PRJNA509882,PRJNA509882,True,True
PRJNA601994_SRR10911626,PRJNA601994,PRJNA601994,True,True
PRJNA548153_SRR9270675,PRJNA548153,PRJNA548153,True,True
PRJNA378749_SRR5343033,PRJNA378749,PRJNA378749,True,True
PRJNA631001_SRR11733611,PRJNA631001,PRJNA631001,True,True
PRJNA545312_SRR11415549,PRJNA545312,PRJNA497734,False,False
PRJEB17610_ERR1713701,PRJEB17610,PRJEB17608,False,True
PRJNA605031_SRR11030772,PRJNA605031,PRJNA605031,True,True
PRJEB38948_ERR4347752,PRJEB38948,PRJEB38948,True,True
PRJNA323603_SRR3956245,PRJNA323603,PRJNA323603,True,True
PRJNA545312_SRR11420240,PRJNA545312,PRJNA545312,True,True
PRJNA385551_SRR5602155,PRJNA385551,PRJNA385551,True,True
PRJNA685746_SRR14427557,PRJNA685746,PRJNA685746,True,True
PRJNA427597_SRR6424500,PRJNA427597,PRJNA427597,True,True
PRJNA606654_SRR11086380,PRJNA606654,PRJNA396815,False,True
PRJEB37553_ERR4077567,PRJEB37553,PRJEB37553,True,True
PRJEB27564_ERR2730220,PRJEB27564,PRJEB27564,True,True
PRJNA625750_SRR11559666,PRJNA625750,PRJNA625750,True,True
PRJNA589488_SRR10484149,PRJNA589488,PRJNA589488,True,True
PRJEB36385_ERR3838886,PRJEB36385,PRJEB36385,True,True
PRJEB11419_ERR5752477,PRJEB11419,PRJEB11419,True,True
PRJNA601994_SRR10911680,PRJNA601994,PRJNA556249,False,False
PRJDB5316_DRR087801,PRJDB5316,PRJDB5316,True,True
PRJNA603983_SRR10991009,PRJNA603983,PRJNA603983,True,True
PRJNA450340_SRR8534153,PRJNA450340,PRJEB37553,False,True
PRJNA560950_SRR10022144,PRJNA560950,PRJNA560950,True,True
PRJEB38948_ERR4348058,PRJEB38948,PRJEB38948,True,True
PRJNA729511_SRR14991805,PRJNA729511,PRJEB13896,False,True
PRJNA548153_SRR9270738,PRJNA548153,PRJNA548153,True,True
PRJNA349809_SRR4459828,PRJNA349809,PRJNA657821,False,False
PRJEB38948_ERR4346676,PRJEB38948,PRJEB38948,True,True
PRJEB35769_ERR3765292,PRJEB35769,PRJEB35769,True,True
PRJNA480547_SRR7507473,PRJNA480547,PRJNA480547,True,True
PRJNA520899_SRR8535535,PRJNA520899,PRJNA520899,True,True
PRJNA414072_SRR6221278,PRJNA414072,PRJNA414072,True,True
PRJEB9150_ERR866708,PRJEB9150,PRJEB9150,True,True
PRJEB38948_ERR4347487,PRJEB38948,PRJEB38948,True,True
PRJEB29433_ERR3387025,PRJEB29433,PRJEB29433,True,True
PRJEB27868_ERR2712825,PRJEB27868,PRJEB27868,True,True
PRJNA708262_SRR13950681,PRJNA708262,PRJNA729511,False,True
PRJNA589488_SRR10484223,PRJNA589488,PRJNA497734,False,True
PRJNA396815_SRR6867159,PRJNA396815,PRJNA396815,True,True
PRJNA324147_SRR5130780,PRJNA324147,PRJNA232731,False,False
PRJEB15481_ERR1763094,PRJEB15481,PRJEB15481,True,True
PRJEB38948_ERR4348932,PRJEB38948,PRJEB38948,True,True
PRJEB27068_ERR3018699,PRJEB27068,PRJEB27068,True,True
PRJEB38948_ERR4347997,PRJEB38948,PRJNA481243,False,True
PRJEB11419_ERR5337845,PRJEB11419,PRJNA480711,False,True
PRJEB38948_ERR4347437,PRJEB38948,PRJEB38948,True,True
PRJNA673102_SRR12932040,PRJNA673102,PRJNA673102,True,True
PRJEB29433_ERR3388245,PRJEB29433,PRJEB29433,True,True
PRJNA607574_SRR11115707,PRJNA607574,PRJNA607574,True,True
PRJEB39289_ERR4330378,PRJEB39289,PRJEB39289,True,True
PRJEB11419_ERR5332726,PRJEB11419,PRJEB11419,True,True
PRJNA339264_SRR5078705,PRJNA339264,PRJNA396815,False,False
PRJEB27068_ERR3020110,PRJEB27068,PRJEB27068,True,True
PRJNA398089_SRR6704263,PRJNA398089,PRJNA398089,True,True
PRJNA673102_SRR12950665,PRJNA673102,PRJNA673102,True,True
PRJEB38948_ERR4580343,PRJEB38948,PRJEB38948,True,True
PRJNA421286_SRR6368815,PRJNA421286,PRJNA421286,True,True
PRJNA510423_SRR14431066,PRJNA510423,PRJNA510423,True,True
PRJNA554232_SRR9683438,PRJNA554232,PRJNA554232,True,True
PRJNA398187_SRR6153718,PRJNA398187,PRJNA414072,False,True
PRJNA545312_SRR11420255,PRJNA545312,PRJNA545312,True,True
PRJEB11419_ERR5332379,PRJEB11419,PRJEB11419,True,True
PRJEB20773_ERR1975401,PRJEB20773,PRJEB20773,True,True
PRJEB11419_ERR6149197,PRJEB11419,PRJNA544527,False,True
PRJNA497734_SRR8120631,PRJNA497734,PRJNA528813,False,True
PRJNA685746_SRR14436153,PRJNA685746,PRJNA685746,True,True
PRJNA434133_SRR10501864,PRJNA434133,PRJNA434133,True,True
PRJNA385551_SRR5610037,PRJNA385551,PRJNA385551,True,True
PRJEB27068_ERR3017416,PRJEB27068,PRJEB27068,True,True
PRJNA509882_SRR8306634,PRJNA509882,PRJNA428736,False,False
PRJEB16344_ERR1700219,PRJEB16344,PRJEB16344,True,True
PRJNA318004_SRR3362202,PRJNA318004,PRJNA318004,True,True
PRJNA685746_SRR14427824,PRJNA685746,PRJNA685746,True,True
PRJEB6358_ERR520896,PRJEB6358,PRJEB6358,True,True
PRJEB38948_ERR4579877,PRJEB38948,PRJEB38948,True,True
PRJEB5482_ERR498514,PRJEB5482,PRJEB5482,True,True
PRJNA395034_SRR5850366,PRJNA395034,PRJNA673102,False,False
PRJNA544527_SRR9218713,PRJNA544527,PRJNA544527,True,True
PRJEB26012_ERR2518989,PRJEB26012,PRJEB26012,True,True
PRJNA685746_SRR14427980,PRJNA685746,PRJNA685746,True,True
PRJNA307231_SRR3094727,PRJNA307231,PRJNA307231,True,True
PRJNA398089_SRR6704353,PRJNA398089,PRJNA497734,False,True
PRJNA548153_SRR9270243,PRJNA548153,PRJNA396815,False,True
PRJNA547591_SRR9293224,PRJNA547591,PRJNA547591,True,True
PRJNA605031_SRR11030595,PRJNA605031,PRJNA605031,True,True
PRJEB38948_ERR4347137,PRJEB38948,PRJEB38948,True,True
PRJNA290926_SRR2143649,PRJNA290926,PRJEB11419,False,False
PRJDB9469_DRR242550,PRJDB9469,PRJDB9469,True,True
PRJNA701870_SRR13777236,PRJNA701870,PRJNA701870,True,True
PRJNA414683_SRR6185183,PRJNA414683,PRJNA414683,True,True
PRJNA674880_SRR13060382,PRJNA674880,PRJNA729511,False,False
PRJNA562529_SRR10041994,PRJNA562529,PRJNA562529,True,True
PRJNA685746_SRR14436363,PRJNA685746,PRJNA685746,True,True
PRJEB29433_ERR3387127,PRJEB29433,PRJEB29433,True,True
PRJNA693579_SRR13493401,PRJNA693579,PRJNA545312,False,False
PRJNA324825_SRR3647747,PRJNA324825,PRJNA324825,True,True
PRJNA481072_SRR7526630,PRJNA481072,PRJNA481072,True,True
PRJNA685746_SRR14435754,PRJNA685746,PRJNA685746,True,True
PRJNA661289_SRR12582244,PRJNA661289,PRJNA661289,True,True
PRJNA547591_SRR9293264,PRJNA547591,PRJNA547591,True,True
PRJNA515272_SRR10886626,PRJNA515272,PRJNA515272,True,True
PRJNA497734_SRR8119794,PRJNA497734,PRJNA497734,True,True
PRJNA577051_SRR10261158,PRJNA577051,PRJEB37877,False,True
PRJNA324825_SRR3647819,PRJNA324825,PRJNA324825,True,True
PRJNA548153_SRR9270680,PRJNA548153,PRJNA548153,True,True
PRJEB5482_ERR500786,PRJEB5482,PRJEB27068,False,True
PRJDB9469_DRR242558,PRJDB9469,PRJNA554232,False,True
PRJNA427170_SRR6056238,PRJNA427170,PRJNA427170,True,True
PRJNA548153_SRR9270289,PRJNA548153,PRJNA548153,True,True
PRJNA328987_SRR5210603,PRJNA328987,PRJNA328987,True,True
PRJNA318004_SRR3361537,PRJNA318004,PRJNA318004,True,True
PRJNA544527_SRR9219704,PRJNA544527,PRJNA544527,True,True
PRJNA417357_SRR6265007,PRJNA417357,PRJNA417357,True,True
PRJEB28159_ERR3401425,PRJEB28159,PRJEB29433,False,True
PRJNA685746_SRR14484520,PRJNA685746,PRJNA685746,True,True
PRJDB9469_DRR242428,PRJDB9469,PRJDB9469,True,True
PRJNA392012_SRR5761182,PRJNA392012,PRJNA392012,True,True
PRJNA414072_SRR6168405,PRJNA414072,PRJNA414072,True,True
PRJNA339264_SRR5078728,PRJNA339264,PRJNA339264,True,True
PRJNA729511_SRR14992981,PRJNA729511,PRJNA729511,True,True
PRJNA428736_SRR6444004,PRJNA428736,PRJNA428736,True,True
PRJEB27564_ERR2730385,PRJEB27564,PRJEB27564,True,True
PRJEB20766_ERR1972348,PRJEB20766,PRJEB20766,True,True
PRJNA576564_SRR10253618,PRJNA576564,PRJNA576564,True,True
PRJNA528813_SRR8777398,PRJNA528813,PRJNA528813,True,True
PRJNA449103_SRR6967390,PRJNA449103,PRJNA545312,False,False
PRJEB29433_ERR3387056,PRJEB29433,PRJEB29433,True,True
PRJEB32077_ERR3266283,PRJEB32077,PRJEB32077,True,True
PRJEB11419_ERR5320952,PRJEB11419,PRJEB11419,True,True
PRJNA559803_SRR9950115,PRJNA559803,PRJNA559803,True,True
PRJNA396815_SRR6866133,PRJNA396815,PRJNA545312,False,True
PRJEB33065_ERR3377242,PRJEB33065,PRJEB33065,True,True
PRJEB28159_ERR3402062,PRJEB28159,PRJEB27068,False,True
PRJNA307231_SRR3094701,PRJNA307231,PRJNA623853,False,True
PRJNA487119_SRR7734326,PRJNA487119,PRJNA487119,True,True
PRJNA414072_SRR6167557,PRJNA414072,PRJNA414072,True,True
PRJEB38948_ERR4346928,PRJEB38948,PRJEB38948,True,True
PRJNA394877_SRR5979445,PRJNA394877,PRJNA607574,False,True
PRJNA657821_SRR12467289,PRJNA657821,PRJEB13896,False,True
PRJNA596889_SRR10758959,PRJNA596889,PRJNA596889,True,True
PRJNA545312_SRR10668228,PRJNA545312,PRJNA545312,True,True
PRJEB6705_ERR561301,PRJEB6705,PRJEB6705,True,True
PRJNA231909_SRR1910143,PRJNA231909,PRJNA497734,False,True
PRJNA486009_SRR13448748,PRJNA486009,PRJEB11419,False,True
PRJEB27068_ERR3016451,PRJEB27068,PRJEB27068,True,True
PRJEB29433_ERR3387455,PRJEB29433,PRJEB5482,False,True
PRJNA510423_SRR8349946,PRJNA510423,PRJNA510423,True,True
PRJNA554232_SRR9683378,PRJNA554232,PRJNA657821,False,True
PRJNA548153_SRR9270191,PRJNA548153,PRJNA396815,False,True
PRJNA721421_SRR14215281,PRJNA721421,PRJNA721421,True,True
PRJNA616703_SRR11456286,PRJNA616703,PRJNA481243,False,False
PRJEB6358_ERR579510,PRJEB6358,PRJEB27068,False,True
PRJNA729511_SRR14990677,PRJNA729511,PRJNA729511,True,True
PRJNA491813_SRR8045760,PRJNA491813,PRJNA725388,False,True
PRJNA605031_SRR11030818,PRJNA605031,PRJNA605031,True,True
PRJEB27068_ERR3018784,PRJEB27068,PRJEB27068,True,True
PRJNA562529_SRR10042020,PRJNA562529,PRJEB33065,False,False
PRJNA607574_SRR11396751,PRJNA607574,PRJNA607574,True,True
PRJNA516932_SRR8484553,PRJNA516932,PRJNA516932,True,True
PRJEB40751_ERR4672432,PRJEB40751,PRJNA497734,False,True
PRJNA606262_SRR11139767,PRJNA606262,PRJNA396815,False,True
PRJNA481413_SRR7533907,PRJNA481413,PRJNA481413,True,True
PRJEB11419_ERR5321085,PRJEB11419,PRJEB11419,True,True
PRJNA673102_SRR12932544,PRJNA673102,PRJNA673102,True,True
PRJNA417357_SRR6265601,PRJNA417357,PRJNA481243,False,True
PRJNA431746_SRR6724500,PRJNA431746,PRJNA431746,True,True
PRJEB36316_ERR3835202,PRJEB36316,PRJEB36316,True,True
PRJNA645635_SRR12209801,PRJNA645635,PRJNA645635,True,True
PRJDB8511_DRR200195,PRJDB8511,PRJDB8511,True,True
PRJNA544527_SRR9219244,PRJNA544527,PRJNA544527,True,True
PRJEB15481_ERR1763487,PRJEB15481,PRJEB15481,True,True
PRJEB13896_ERR1421940,PRJEB13896,PRJEB38948,False,True
PRJNA325931_SRR3681788,PRJNA325931,PRJNA325931,True,True
PRJEB37877_ERR4038060,PRJEB37877,PRJEB37877,True,True
PRJNA685746_SRR14436177,PRJNA685746,PRJNA685746,True,True
PRJEB15534_ERR1662631,PRJEB15534,PRJEB15534,True,True
PRJDB9469_DRR243028,PRJDB9469,PRJDB9469,True,True
PRJEB17610_ERR1713795,PRJEB17610,PRJEB17610,True,True
PRJNA545312_SRR11416320,PRJNA545312,PRJNA607574,False,True
PRJNA318004_SRR3362113,PRJNA318004,PRJNA318004,True,True
PRJNA510423_SRR8350069,PRJNA510423,PRJNA510423,True,True
PRJNA593062_SRR11926092,PRJNA593062,PRJNA593062,True,True
PRJNA541332_SRR9019922,PRJNA541332,PRJNA541332,True,True
PRJNA685746_SRR14445855,PRJNA685746,PRJNA685746,True,True
PRJEB38948_ERR4347071,PRJEB38948,PRJEB38948,True,True
PRJNA724686_SRR14313169,PRJNA724686,PRJNA724686,True,True
PRJNA631001_SRR11733608,PRJNA631001,PRJNA631001,True,True
PRJNA497734_SRR8119241,PRJNA497734,PRJNA497734,True,True
PRJNA576314_SRR10289099,PRJNA576314,PRJNA576314,True,True
PRJEB8463_ERR757123,PRJEB8463,PRJEB8463,True,True
PRJNA307992_SRR3102390,PRJNA307992,PRJNA729511,False,True
PRJNA396815_SRR6867662,PRJNA396815,PRJNA396815,True,True
PRJNA497734_SRR8119165,PRJNA497734,PRJNA497734,True,True
PRJNA417357_SRR6264811,PRJNA417357,PRJNA417357,True,True
PRJNA394877_SRR5978031,PRJNA394877,PRJNA607574,False,True
PRJNA577051_SRR10261124,PRJNA577051,PRJNA577051,True,True
PRJDB9469_DRR243170,PRJDB9469,PRJDB9469,True,True
PRJNA428736_SRR6444470,PRJNA428736,PRJNA428736,True,True
PRJNA642894_SRR12121225,PRJNA642894,PRJNA642894,True,True
PRJNA430990_SRR6498315,PRJNA430990,PRJNA430990,True,True
PRJEB8463_ERR757025,PRJEB8463,PRJEB8463,True,True
PRJNA414072_SRR6221149,PRJNA414072,PRJNA414072,True,True
PRJNA339264_SRR5078739,PRJNA339264,PRJNA339264,True,True
PRJEB20773_ERR1975406,PRJEB20773,PRJNA559803,False,True
PRJNA517572_SRR8501060,PRJNA517572,PRJNA517572,True,True
PRJEB11419_ERR5326319,PRJEB11419,PRJEB11419,True,True
PRJNA544545_SRR9124188,PRJNA544545,PRJNA657821,False,False
PRJNA478781_SRR7458959,PRJNA478781,PRJNA478781,True,True
PRJNA729511_SRR14993028,PRJNA729511,PRJNA729511,True,True
PRJNA605031_SRR11030356,PRJNA605031,PRJNA605031,True,True
PRJNA609319_SRR11207495,PRJNA609319,PRJNA609319,True,True
PRJNA673102_SRR12950483,PRJNA673102,PRJNA673102,True,True
PRJNA693579_SRR13493081,PRJNA693579,PRJEB11419,False,True
PRJEB8463_ERR756556,PRJEB8463,PRJEB8463,True,True
PRJNA388263_SRR5649151,PRJNA388263,PRJNA388263,True,True
PRJNA417357_SRR6264549,PRJNA417357,PRJNA417357,True,True
PRJNA548153_SRR9271082,PRJNA548153,PRJNA396815,False,True
PRJNA544370_SRR9115946,PRJNA544370,PRJNA544370,True,True
PRJEB28159_ERR3401894,PRJEB28159,PRJEB28159,True,True
PRJNA720325_SRR14195601,PRJNA720325,PRJNA720325,True,True
PRJNA729511_SRR14992514,PRJNA729511,PRJNA729511,True,True
PRJEB11419_ERR5337994,PRJEB11419,PRJEB11419,True,True
PRJNA396815_SRR6866533,PRJNA396815,PRJNA396815,True,True
PRJNA475599_SRR9060811,PRJNA475599,PRJNA475599,True,True
PRJNA548153_SRR9269808,PRJNA548153,PRJNA548153,True,True
PRJNA607574_SRR11116917,PRJNA607574,PRJNA607574,True,True
PRJNA396815_SRR6866222,PRJNA396815,PRJNA396815,True,True
PRJNA541332_SRR9019925,PRJNA541332,PRJNA541332,True,True
PRJNA528344_SRR8760919,PRJNA528344,PRJNA528344,True,True
PRJEB38948_ERR4348174,PRJEB38948,PRJEB38948,True,True
PRJNA545312_SRR11419617,PRJNA545312,PRJNA545312,True,True
PRJEB29433_ERR3387175,PRJEB29433,PRJEB29433,True,True
PRJNA485797_SRR7690061,PRJNA485797,PRJNA729511,False,True
PRJNA648818_SRR12459956,PRJNA648818,PRJEB13896,False,True
PRJEB5482_ERR500989,PRJEB5482,PRJEB27068,False,True
PRJNA385551_SRR5602091,PRJNA385551,PRJNA385551,True,True
PRJNA607574_SRR11396452,PRJNA607574,PRJNA607574,True,True
PRJNA574565_SRR10193821,PRJNA574565,PRJNA544721,False,True
PRJNA606262_SRR11140406,PRJNA606262,PRJNA396815,False,True
PRJNA559803_SRR9950144,PRJNA559803,PRJEB38948,False,True
PRJEB27068_ERR3016751,PRJEB27068,PRJEB27068,True,True
PRJNA544527_SRR9219139,PRJNA544527,PRJNA544527,True,True
PRJNA552448_SRR9639980,PRJNA552448,PRJNA552448,True,True
PRJNA516932_SRR8484636,PRJNA516932,PRJNA516932,True,True
PRJNA417357_SRR6264825,PRJNA417357,PRJNA497734,False,True
PRJNA686801_SRR13286409,PRJNA686801,PRJNA686801,True,True
PRJNA685746_SRR14427137,PRJNA685746,PRJNA685746,True,True
PRJNA764337_SRR15959666,PRJNA764337,PRJEB16344,False,True
PRJNA526906_SRR8726793,PRJNA526906,PRJNA526906,True,True
PRJEB27868_ERR2712484,PRJEB27868,PRJEB27868,True,True
PRJNA674880_SRR13060202,PRJNA674880,PRJNA674880,True,True
PRJNA545312_SRR11419802,PRJNA545312,PRJNA548153,False,True
PRJNA605031_SRR11030632,PRJNA605031,PRJNA605031,True,True
PRJEB8463_ERR756563,PRJEB8463,PRJEB8463,True,True
PRJNA472768_SRR7611359,PRJNA472768,PRJNA472768,True,True
PRJNA729511_SRR14991693,PRJNA729511,PRJNA729511,True,True
PRJNA727279_SRR14432089,PRJNA727279,PRJNA727279,True,True
PRJNA328258_SRR4041334,PRJNA328258,PRJNA428736,False,True
PRJEB13896_ERR1422121,PRJEB13896,PRJEB13896,True,True
PRJNA657821_SRR12467138,PRJNA657821,PRJNA657821,True,True
PRJNA644496_SRR12177707,PRJNA644496,PRJEB21946,False,True
PRJNA450540_SRR7013970,PRJNA450540,PRJEB17613,False,True
PRJNA685746_SRR14485170,PRJNA685746,PRJNA685746,True,True
PRJNA729511_SRR14993180,PRJNA729511,PRJNA729511,True,True
PRJNA642894_SRR12121175,PRJNA642894,PRJNA642894,True,True
PRJDB9469_DRR243419,PRJDB9469,PRJDB9469,True,True
PRJNA685746_SRR14485049,PRJNA685746,PRJNA685746,True,True
PRJEB28159_ERR3402245,PRJEB28159,PRJEB28159,True,True
PRJNA481413_SRR7534220,PRJNA481413,PRJNA481413,True,True
PRJEB37553_ERR4077444,PRJEB37553,PRJNA545312,False,False
PRJNA485316_SRR7735153,PRJNA485316,PRJNA729511,False,True
PRJNA729511_SRR14992194,PRJNA729511,PRJNA729511,True,True
PRJNA598280_SRR10848002,PRJNA598280,PRJNA598280,True,True
PRJNA388263_SRR5648924,PRJNA388263,PRJNA388263,True,True
PRJNA601994_SRR10911164,PRJNA601994,PRJEB11419,False,True
PRJNA606262_SRR11140248,PRJNA606262,PRJNA548153,False,True
PRJEB27068_ERR3019861,PRJEB27068,PRJEB27068,True,True
PRJEB40569_ERR4648401,PRJEB40569,PRJEB40569,True,True
PRJEB11419_ERR5337967,PRJEB11419,PRJEB11419,True,True
PRJEB33065_ERR3379638,PRJEB33065,PRJEB33065,True,True
PRJEB42155_ERR5009593,PRJEB42155,PRJNA545312,False,True
PRJEB35769_ERR3765100,PRJEB35769,PRJEB35769,True,True
PRJEB27068_ERR3018762,PRJEB27068,PRJEB27068,True,True
PRJNA673102_SRR12950892,PRJNA673102,PRJNA673102,True,True
PRJNA729511_SRR14992921,PRJNA729511,PRJNA729511,True,True
PRJEB11419_ERR4914604,PRJEB11419,PRJEB11419,True,True
PRJNA388263_SRR5649015,PRJNA388263,PRJNA388263,True,True
PRJEB38948_ERR4347704,PRJEB38948,PRJEB38948,True,True
PRJNA481243_SRR7546651,PRJNA481243,PRJNA481243,True,True
PRJNA606262_SRR11140364,PRJNA606262,PRJNA548153,False,True
PRJNA729511_SRR14993341,PRJNA729511,PRJNA729511,True,True
PRJEB11419_ERR5332074,PRJEB11419,PRJEB11419,True,True
PRJNA548153_SRR9298662,PRJNA548153,PRJNA548153,True,True
PRJNA729511_SRR14993228,PRJNA729511,PRJNA729511,True,True
PRJNA481243_SRR7546278,PRJNA481243,PRJNA645223,False,True
PRJNA645223_SRR12203779,PRJNA645223,PRJNA645223,True,True
PRJNA729511_SRR14992065,PRJNA729511,PRJNA729511,True,True
PRJNA729511_SRR14992806,PRJNA729511,PRJNA729511,True,True
PRJNA428736_SRR6444799,PRJNA428736,PRJNA428736,True,True
PRJNA729511_SRR14992210,PRJNA729511,PRJNA428736,False,True
PRJNA510423_SRR14431075,PRJNA510423,PRJNA510423,True,True
PRJNA727279_SRR14432046,PRJNA727279,PRJNA727279,True,True
PRJNA604280_SRR11005542,PRJNA604280,PRJNA604280,True,True
PRJEB13896_ERR1421949,PRJEB13896,PRJNA497734,False,True
PRJNA544527_SRR9218885,PRJNA544527,PRJNA544527,True,True
PRJNA544527_SRR9219356,PRJNA544527,PRJNA544527,True,True
PRJNA729511_SRR14990502,PRJNA729511,PRJNA729511,True,True
PRJEB27068_ERR3019277,PRJEB27068,PRJEB27068,True,True
PRJNA517509_SRR8497934,PRJNA517509,PRJNA517509,True,True
PRJEB32244_ERR3327144,PRJEB32244,PRJEB32244,True,True
PRJNA390646_SRR5699177,PRJNA390646,PRJNA390646,True,True
PRJNA554232_SRR9683180,PRJNA554232,PRJNA554232,True,True
PRJNA545312_SRR10668366,PRJNA545312,PRJNA545312,True,True
PRJEB27068_ERR3017373,PRJEB27068,PRJEB28159,False,True
PRJEB44113_ERR5654204,PRJEB44113,PRJNA727279,False,True
PRJEB5482_ERR498869,PRJEB5482,PRJEB5482,True,True
PRJNA544721_SRR9160251,PRJNA544721,PRJNA414072,False,True
PRJNA396815_SRR6866331,PRJNA396815,PRJNA396815,True,True
PRJNA693579_SRR13493344,PRJNA693579,PRJNA324452,False,False
