project,n_samples,amplicon,kit_family,instrument,region,n_controls,n_cases
PRJNA715766,239,unknown,Qiagen,Illumina MiSeq,Europe and Northern America,0,0
PRJNA716437,98,v3-v4,Qiagen,Illumina MiSeq,Australia/New Zealand,0,0
PRJNA720101,90,v4,Qiagen,Illumina MiSeq,Europe and Northern America,30,60
PRJNA720325,167,v3-v4,other_or_unspecified,Illumina MiSeq,Europe and Northern America,0,0
PRJNA721421,411,v4,Qiagen,Illumina MiSeq,Europe and Northern America,0,0
PRJNA723466,193,v1-v3,other_or_unspecified,Illumina MiSeq,unknown,0,0
PRJNA724686,78,v3-v4,Qiagen,Illumina MiSeq,Europe and Northern America,0,0
PRJNA725388,89,unknown,manual_extraction,Illumina MiSeq,Europe and Northern America,0,0
PRJNA726866,221,v3-v4,Qiagen,Illumina MiSeq,Europe and Northern America,0,0
PRJNA726917,402,v3-v4,Qiagen,Illumina MiSeq,Europe and Northern America,0,0
PRJNA727279,1197,v4,other_or_unspecified,Illumina HiSeq 2500,Europe and Northern America,0,0
PRJNA729439,50,v4,Qiagen,Illumina MiSeq,Europe and Northern America,0,0
PRJNA729511,3712,v4,Qiagen,454 GS,Europe and Northern America,866,1409
PRJNA735699,83,v4,Qiagen,Illumina MiSeq,Europe and Northern America,0,0
PRJNA741048,99,v1-v2,other_or_unspecified,Illumina MiSeq,Europe and Northern America,0,0
PRJNA742936,167,v3-v4,Qiagen,Illumina MiSeq,Europe and Northern America,0,0
PRJNA750230,88,v3-v4,other_or_unspecified,Illumina NovaSeq 6000,Eastern and South-Eastern Asia,0,0
PRJNA753264,52,v3,MP_Biomedicals,Illumina NovaSeq 6000,Eastern and South-Eastern Asia,0,0
PRJNA759642,57,v4,Qiagen,Illumina MiSeq,Europe and Northern America,0,0
PRJNA762195,97,v3-v4,other_or_unspecified,Illumina NovaSeq 6000,Eastern and South-Eastern Asia,0,0
PRJNA764337,106,unknown,Qiagen,Illumina MiSeq,unknown,0,0
