project,tag,bucket,controls,cases,study_n,n_distinct_values_after_null,top_values,note
PRJEB11419,covid_suspected_positive,NEEDS_REVIEW,,,,6,"{""no symptoms or signs"": 779, ""unspecified"": 148, ""yes, have had some possible symptoms but tested negative"": 83, ""yes, have had some possible symptoms, but no diagnosis by doctor"": 54, ""yes, with a positive test"": 18}",
PRJEB11419,depression_bipolar_schizophrenia,NEEDS_REVIEW,,,,4,"{""unspecified"": 2565, ""i do not have this condition"": 18, ""diagnosed by a medical professional (doctor, physician assistant)"": 11, ""self-diagnosed"": 2}",
PRJEB11419,diabetes,CONFIRMED,4510.0,163.0,4676.0,5,"{""i do not have this condition"": 4510, ""diagnosed by a medical professional (doctor, physician assistant)"": 157, ""unspecified"": 135, ""self-diagnosed"": 6, ""diagnosed by an alternative medicine practitioner"": 3}",
PRJEB11419,epilepsy_or_seizure_disorder,NEEDS_REVIEW,,,,5,"{""i do not have this condition"": 3373, ""unspecified"": 117, ""diagnosed by a medical professional (doctor, physician assistant)"": 50, ""diagnosed by an alternative medicine practitioner"": 3, ""self-diagnosed"": 1}",
PRJEB11419,fungal_overgrowth,NEEDS_REVIEW,,,,5,"{""i do not have this condition"": 3993, ""unspecified"": 277, ""self-diagnosed"": 192, ""diagnosed by an alternative medicine practitioner"": 187, ""diagnosed by a medical professional (doctor, physician assistant)"": 173}",
PRJEB11419,ibd,NEEDS_REVIEW,,,,5,"{""i do not have this condition"": 4357, ""unspecified"": 233, ""diagnosed by a medical professional (doctor, physician assistant)"": 214, ""self-diagnosed"": 12, ""diagnosed by an alternative medicine practitioner"": 6}",
PRJEB11419,ibd diagnosis,NEEDS_REVIEW,,,,3,"{""unspecified"": 1556, ""crohn's disease"": 56, ""ulcerative colitis"": 31}",
PRJEB11419,ibd_diagnosis_refined,NEEDS_REVIEW,,,,6,"{""unspecified"": 4575, ""colonic crohn's disease"": 79, ""ulcerative colitis"": 77, ""ileal crohn's disease"": 35, ""microcolitis"": 11}",
PRJEB11419,ibs,NEEDS_REVIEW,,,,5,"{""i do not have this condition"": 3633, ""diagnosed by a medical professional (doctor, physician assistant)"": 589, ""self-diagnosed"": 318, ""unspecified"": 250, ""diagnosed by an alternative medicine practitioner"": 30}",
PRJEB11419,kidney_disease,NEEDS_REVIEW,,,,4,"{""i do not have this condition"": 3756, ""unspecified"": 154, ""diagnosed by a medical professional (doctor, physician assistant)"": 63, ""self-diagnosed"": 5}",
PRJEB11419,liver_disease,NEEDS_REVIEW,,,,5,"{""i do not have this condition"": 3704, ""unspecified"": 200, ""diagnosed by a medical professional (doctor, physician assistant)"": 68, ""self-diagnosed"": 4, ""diagnosed by an alternative medicine practitioner"": 2}",
PRJEB11419,living_status,NEEDS_REVIEW,,,,0,{},
PRJEB11419,lung disease,NEEDS_REVIEW,,,,5,"{""i do not have this condition"": 3037, ""diagnosed by a medical professional (doctor, physician assistant)"": 392, ""unspecified"": 123, ""self-diagnosed"": 8, ""diagnosed by an alternative medicine practitioner"": 2}",
