project,tag,bucket,controls,cases,study_n,n_distinct_values_after_null,top_values,note
PRJNA548177,ConditioningIntensity,NEEDS_REVIEW,,,,2,"{""cond1"": 78, ""cond2"": 32}",
PRJNA548177,UnderlyingDisease,NEEDS_REVIEW,,,,4,"{""ud2"": 52, ""ud3"": 38, ""ud1"": 14, ""ud4"": 6}",
PRJNA554232,Sample Group,NEEDS_REVIEW,,,,2,"{""control"": 503, ""cf"": 214}",
PRJNA554232,env_local_scale,CONFIRMED,571.0,146.0,717.0,2,"{""0"": 571, ""1"": 146}",
PRJNA556249,Kp,COLONISATION,210.0,38.0,,2,"{""0"": 210, ""1"": 38}",carriage of an organism not illness -- pending decision LABEL_AUDIT.md 5.2
PRJNA556249,swab_status,NEEDS_REVIEW,,,,4,"{""bothnegative"": 190, ""kppositive"": 31, ""vrepositive"": 20, ""bothpositive"": 7}",
PRJNA559803,Treatment_Group,NEEDS_REVIEW,,,,3,"{""emollient"": 118, ""no_emollient"": 114, ""extraction_control"": 14}",
PRJNA564612,host_group,NEEDS_REVIEW,,,,2,"{""active"": 64, ""sedentary"": 45}",
PRJNA589036,host_disease,CONFIRMED,84.0,82.0,166.0,2,"{""uninfected"": 84, ""infected"": 82}",
PRJNA591924,host_disease,CONFIRMED,47.0,43.0,90.0,2,"{""none"": 47, ""major depressive disorder (mdd)"": 43}",recovered only via none-as-control null exemption
PRJNA601994,health_state,CONFIRMED,316.0,524.0,840.0,2,"{""parkinsons"": 524, ""control"": 316}",
PRJNA604466,gastrointest_disord,NEEDS_REVIEW,,,,2,"{""normal"": 43, ""ibs"": 10}",
PRJNA610934,gastrointest_disord,NEEDS_REVIEW,,,,2,"{""none"": 32, ""ulcerative colitis"": 19}",
PRJNA610934,host_disease,CONFIRMED,21.0,30.0,51.0,4,"{""none"": 21, ""ulcerative colitis"": 12, ""primary sclerosing cholangitis"": 11, ""primary sclerosing cholangitis + ulcerative colitis"": 7}",recovered only via none-as-control null exemption
PRJNA610934,liver_disord,NEEDS_REVIEW,,,,2,"{""none"": 33, ""primary sclerosing cholangitis"": 18}",
PRJNA622267,host_disease,NEEDS_REVIEW,,,,3,"{""mtbc-mtb"": 40, ""mtbc-maf"": 38, ""healthy"": 10}",
PRJNA622517,status,NEEDS_REVIEW,,,,1,"{""healthy"": 76}",
PRJNA631262,case,CONFIRMED,55.0,27.0,82.0,2,"{""false"": 55, ""true"": 27}",
PRJNA639644,disease,CONFIRMED,61.0,166.0,227.0,4,"{""gastriccancer"": 83, ""health"": 61, ""gastritis"": 54, ""colorectal cancer"": 29}",
PRJNA641414,Case_Status,CONFIRMED,206.0,103.0,309.0,2,"{""0"": 206, ""1"": 103}",
PRJNA644520,Adenoma_detected_during_colonocsopy,NEEDS_REVIEW,,,,2,"{""adenoma negative"": 193, ""adenoma positive"": 55}",
PRJNA644520,Biofilm_status,NEEDS_REVIEW,,,,2,"{""biofilm positive"": 150, ""biofilm negative"": 112}",
PRJNA644520,Cohort,CONFIRMED,73.0,189.0,262.0,3,"{""ibs"": 120, ""control"": 73, ""uc"": 69}",
PRJNA644520,Colonic_biofilm_status,NEEDS_REVIEW,,,,2,"{""biofilm negative"": 136, ""biofilm positive"": 126}",
PRJNA644520,Disease_classification,NEEDS_REVIEW,,,,7,"{""control"": 73, ""ibs-m"": 70, ""e3"": 45, ""ibs-d"": 38, ""e2"": 18}",
PRJNA644520,Ileal_biofilm_status,NEEDS_REVIEW,,,,2,"{""biofilm negative"": 148, ""biofilm positive"": 114}",
PRJNA644520,gastrointest_disord,NEEDS_REVIEW,,,,2,"{""irritable bowel syndrome"": 120, ""ulcerative colitis"": 69}",
PRJNA645635,isolation_source,CONFIRMED,50.0,53.0,103.0,4,"{""eczema infant stool"": 27, ""eczema infant fed breast milk"": 26, ""healthy infant stool"": 25, ""healthy infant fed breast milk"": 25}",
PRJNA648321,host_disease,CONFIRMED,204.0,200.0,404.0,2,"{""healthy"": 204, ""cdi positive"": 200}",
PRJNA662100,diabetes_status,CONFIRMED,24.0,47.0,71.0,3,"{""normoglycemic"": 24, ""diabetic"": 24, ""prediabetic"": 23}",
PRJNA678221,group,NEEDS_REVIEW,,,,3,"{""ip1"": 278, ""ip3"": 262, ""ip2"": 262}",
PRJNA684584,host_disease,NEEDS_REVIEW,,,,2,"{""periodontitis positive"": 53, ""periodontitis negative"": 50}",
PRJNA685403,ARDS,CONFIRMED,71.0,62.0,133.0,2,"{""negative"": 71, ""positive"": 62}",
PRJNA685403,SIRS,NEEDS_REVIEW,,,,2,"{""positive"": 132, ""negative"": 1}",
PRJNA685403,Sepsis,NEEDS_REVIEW,,,,2,"{""positive"": 114, ""negative"": 19}",
PRJNA685403,Severe,NEEDS_REVIEW,,,,2,"{""positive"": 108, ""negative"": 25}",
PRJNA685403,Shock,NEEDS_REVIEW,,,,2,"{""positive"": 68, ""negative"": 65}",
PRJNA687633,Group,CONFIRMED,20.0,42.0,62.0,2,"{""rtt"": 42, ""control"": 20}",
PRJNA688751,blood_blood_disord,NEEDS_REVIEW,,,,10,"{""24.0"": 12, ""24.28"": 11, ""24.42"": 8, ""25.86"": 4, ""26.72"": 4}",
PRJNA688751,foetal_health_stat,NEEDS_REVIEW,,,,1,"{""yes"": 18}",
PRJNA688839,group,NEEDS_REVIEW,,,,2,"{""cci"": 81, ""healthy"": 10}",
PRJNA704289,allergic_or_nonallergic,CONFIRMED,26.0,67.0,93.0,2,"{""allergic"": 67, ""non-allergic"": 26}",
PRJNA715072,NEC,CONFIRMED,477.0,34.0,511.0,2,"{""0"": 477, ""1"": 34}",
PRJNA715072,is_healthy,NEEDS_REVIEW,,,,1,"{""yes"": 59}",
PRJNA720101,host_disease,CONFIRMED,41.0,60.0,101.0,4,"{""ac-cd"": 31, ""hc"": 30, ""re-cd"": 29, ""nc"": 11}",
PRJNA721421,host_disease,NEEDS_REVIEW,,,,4,"{""2relapsingremittingms"": 333, ""3secondaryprogressivems"": 62, ""1healthycontrol"": 45, ""4primaryprogressivems"": 15}",
PRJNA721421,host_phenotype,NEEDS_CHECK,,,,15,"{""2"": 61, ""2.5"": 61, ""1.5"": 56, ""1"": 56, ""0"": 53}",EDSS disability scale; every participant has MS; no control arm -- LABEL_AUDIT.md 5.4
PRJNA729511,description,NEEDS_REVIEW,,,,3,"{""diarrheal_control"": 1516, ""case"": 1516, ""nondiarrheal_control"": 909}",
PRJNA729511,group,CONFIRMED,909.0,1516.0,3941.0,3,"{""diarrheal_control"": 1516, ""case"": 1516, ""nondiarrheal_control"": 909}",
PRJNA736821,Group,CONFIRMED,40.0,39.0,79.0,2,"{""health"": 40, ""case"": 39}",
PRJNA750272,gastrointest_disord,NEEDS_REVIEW,,,,1,"{""uclerative_colitis"": 80}",
PRJNA760529,gastrointest_disord,CONFIRMED,70.0,98.0,168.0,2,"{""fgid"": 98, ""non_fgid"": 70}",
PRJNA762104,group,NEEDS_REVIEW,,,,2,"{""probiotics"": 46, ""placebo"": 39}",
