tag,n_rows,n_samples,n_projects,n_distinct_values
ciprofloxacin,131,131,1,2
clarithromycin,131,131,1,2
clindamycin,131,131,1,2
colistin,131,131,1,2
cre_status,131,131,1,2
doxycycline,131,131,1,2
fluconazole,131,131,1,2
gastritis,131,131,1,2
gentamicin,131,131,1,2
hiv_stat,131,131,1,2
High_biliary,131,131,1,2
High_stool,131,131,1,2
IBD,131,131,1,1
Indwelling_urinary_cath,131,131,1,2
TPN,131,131,1,2
WBC_count,131,131,1,86
amikacin,131,131,1,2
amoxicillin_clavulanate,131,131,1,2
ampicillin,131,131,1,2
ampicillin_sulbactam,131,131,1,2
aztreonam,131,131,1,2
trichuriseggs,130,130,1,43
Donor,130,130,1,2
Run_or_Study,130,130,1,2
Plate,130,130,1,2
comparison_group,130,130,1,4
column_header,130,130,1,1
ascariseggs,130,130,1,16
parasitemia_p_vivax,130,130,1,47
indigenous,130,130,1,2
other_plate_location,130,130,1,130
Binding_fraction,130,130,1,4
hookwormeggs,130,130,1,14
Tech_replicate,130,130,1,4
Ab_clone,130,130,1,32
transverse_examined_accessed_resected_or_inaccessible,130,130,1,4
left_colon_examined_accessed_resected_or_inaccessible,130,130,1,3
rectum_examined_accessed_resected_or_inaccessible,130,130,1,3
ileum_examined_accessed_resected_or_inaccessible,130,130,1,3
right_colon_examined_accessed_resected_or_inaccessible,130,130,1,4
IBS_SSS,128,128,1,18
Bristol,128,128,1,6
presence_and_type_of_narrowings_sub_score,128,128,1,7
extent_of_affected_surface_sub_score,128,128,1,12
H,127,127,1,43
extent_of_ulcerated_surface_sub_total,127,127,1,11
asa,127,127,1,102
label,125,125,2,10
presence_and_size_of_ulcers_ses_cd_rectum,124,124,1,5
presence_and_size_of_ulcers_ses_cd_left_colon,122,122,1,5
extent_of_ulcerated_surface_rectum,122,122,1,5
presence_and_type_of_narrowings_left_colon,120,120,1,4
extent_of_ulcerated_surface_left_colon,120,120,1,5
extent_of_affected_surface_left_colon,120,120,1,5
Daily_Calcium_intake_mg/day_based_on_DHQII,119,119,1,30
lab_info_date,118,118,1,78
e.limosum,117,117,1,3
retentiontime,117,117,1,3
fermenation,117,117,1,3
lactate,117,117,1,3
p.avidum,117,117,1,3
presence_and_size_of_ulcers_sescd_transverse,117,117,1,5
visit_number,116,116,1,2
group_ID,116,116,1,116
study_arm,116,116,1,3
race2,116,116,1,4
hispanic_latino,116,116,1,2
reactor,115,115,1,7
sample numbers,115,115,1,115
proband,115,115,1,59
mcv_um3,115,115,1,70
presence_and_size_of_ulcers_ses_cd_ileum,115,115,1,5
intervention,115,115,1,3
plt_1000_mm3,115,115,1,76
extent_of_ulcerated_surface_transverse_colon,115,115,1,5
inflamed_tissue,114,114,1,26
Phase_of_cycle,114,114,1,2
totalBCFA,114,114,1,114
idinfant,114,114,1,3
presence_and_size_of_ulcers_ses_cd_right_colon,113,113,1,5
extent_of_ulcerated_surface_ileum,113,113,1,5
extent_of_affected_surface_ileum,113,113,1,5
hrs_after_initial_sampling,112,112,1,4
DNAtemplate_forPCR,112,112,1,2
extent_of_ulcerated_surface_right_colon,111,111,1,4
presence_and_type_of_narrowings_right_colon,111,111,1,3
extent_of_affected_surface_right_colon,111,111,1,5
presence_and_size_of_ulcers_ses_cd_sub_total,111,111,1,10
AntibioticsAdministered,110,110,1,8
UnderlyingDisease,110,110,1,4
pid,110,110,1,33
fever,110,110,1,2
Fluoroquinolone,110,110,1,3
ConditioningIntensity,110,110,1,2
MajorInfection,110,110,1,2
juj,109,109,1,87
ju,109,109,1,36
ART_status_at_baseline,109,109,1,3
host_group,109,109,1,2
behavior,108,108,1,11
lymph_prcntg,108,108,1,38
Marital_status,107,107,1,4
disease_activity,107,107,1,4
Unique identifier,106,106,1,106
ART_drugs_current,106,106,1,5
Education,105,105,1,5
tag,104,104,1,104
extent_of_affected_surface_rectum,103,103,1,4
birthweight,103,103,1,26
host_day_of_life,103,103,1,96
presence_and_type_of_narrowings_rectum,103,103,1,3
sequence_description,101,101,1,101
AIS SCORE,100,100,1,3
Center,100,100,1,10
AGE_067,100,100,1,41
IL8_zscore,100,100,1,60
Freezer Section,100,100,1,2
M_Key,100,100,1,100
M_DateReceived,100,100,1,48
M_DateProcessed,100,100,1,45
IL6_zscore,100,100,1,60
Neurological_L,100,100,1,3
subject_ID,100,100,1,100
presence_and_type_of_narrowings_ileum,99,99,1,4
CARS,99,99,1,42
ABCdiff,99,99,1,28
ABC,99,99,1,42
CARSdiff,99,99,1,27
HIV_risk_exposure,98,98,1,3
SRA accession,97,97,2,97
Stress,96,96,1,2
wbc_1000_mm3,96,96,1,55
presence_and_type_of_narrowings_transverse,96,96,1,3
extent_of_affected_surface_transverse_colon,96,96,1,4
PPITreatment,96,96,1,2
Animal,96,96,1,24
Biological replicate,96,96,1,2
sample_detail,96,96,1,16
allergic_or_nonallergic,93,93,1,2
months_to_endpoint(autoimmunity),92,92,1,77
match_group_id,92,92,1,18
indiv_id,92,92,1,36
vioscreen_weight,90,90,1,2
shannon's  diversity,90,90,1,89
vioscreen_alphacar,90,90,1,2
vioscreen_alcohol_servings,90,90,1,2
vioscreen_alcohol,90,90,1,2
vioscreen_alanine,90,90,1,2
vioscreen_age,90,90,1,2
vioscreen_v_potato,90,90,1,2
vioscreen_v_other,90,90,1,2
vioscreen_v_orange,90,90,1,2
vioscreen_v_drkgr,90,90,1,2
vioscreen_user_id,90,90,1,2
vioscreen_clac9t11,90,90,1,2
vioscreen_choline,90,90,1,2
vioscreen_cholest,90,90,1,2
vioscreen_carbo,90,90,1,2
vioscreen_calories,90,90,1,2
vioscreen_calcium_servings,90,90,1,2
vioscreen_calcium_from_dairy_servings,90,90,1,2
vioscreen_calcium_freq,90,90,1,2
vioscreen_calcium_dose,90,90,1,2
vioscreen_calcium_avg,90,90,1,2
vioscreen_avcarb,90,90,1,2
vioscreen_aspartic,90,90,1,2
vioscreen_aspartam,90,90,1,2
vioscreen_ash,90,90,1,2
vioscreen_arginine,90,90,1,2
vioscreen_alphtoco,90,90,1,2
vioscreen_email,90,90,1,2
vioscreen_eer,90,90,1,2
vioscreen_dob,90,90,1,2
vioscreen_discfat_sol,90,90,1,2
vioscreen_discfat_oil,90,90,1,2
vioscreen_delttoco,90,90,1,2
vioscreen_database,90,90,1,2
vioscreen_daidzein,90,90,1,2
vioscreen_d_yogurt,90,90,1,2
vioscreen_d_total,90,90,1,2
vioscreen_d_milk,90,90,1,2
vioscreen_d_cheese,90,90,1,2
vioscreen_cystine,90,90,1,2
vioscreen_coumest,90,90,1,2
vioscreen_copper,90,90,1,2
vioscreen_clat10c12,90,90,1,2
vioscreen_fol_syn,90,90,1,2
vioscreen_fol_nat,90,90,1,2
vioscreen_fol_deqv,90,90,1,2
vioscreen_fish_servings,90,90,1,2
vioscreen_finished,90,90,1,2
vioscreen_fibinso,90,90,1,2
vioscreen_fibh2o,90,90,1,2
vioscreen_fiber,90,90,1,2
vioscreen_fat,90,90,1,2
vioscreen_f_total,90,90,1,2
vioscreen_f_nj_total,90,90,1,2
vioscreen_f_nj_other,90,90,1,2
vioscreen_f_nj_citmlb,90,90,1,2
vioscreen_f_citmlb,90,90,1,2
vioscreen_erythr,90,90,1,2
vioscreen_glycine,90,90,1,2
vioscreen_glutamic,90,90,1,2
vioscreen_glucose,90,90,1,2
vioscreen_gltc,90,90,1,2
vioscreen_glac,90,90,1,2
vioscreen_genistn,90,90,1,2
vioscreen_gender,90,90,1,2
vioscreen_gammtoco,90,90,1,2
vioscreen_galactos,90,90,1,2
vioscreen_g_whl,90,90,1,2
vioscreen_d_tot_soym,90,90,1,2
vioscreen_frtsumm,90,90,1,2
vioscreen_frt5_day,90,90,1,2
vioscreen_fried_food_servings,90,90,1,2
vioscreen_fried_fish_servings,90,90,1,2
vioscreen_formontn,90,90,1,2
vioscreen_hei_drk_g_org_veg_leg,90,90,1,2
vioscreen_hei2010_whole_grains,90,90,1,2
vioscreen_hei2010_whole_fruit,90,90,1,2
vioscreen_hei2010_veg,90,90,1,2
vioscreen_hei2010_sodium,90,90,1,2
vioscreen_hei2010_sea_foods_plant_protiens,90,90,1,2
vioscreen_hei2010_score,90,90,1,2
vioscreen_hei2010_refined_grains,90,90,1,2
vioscreen_hei2010_protien_foods,90,90,1,2
vioscreen_hei2010_greens_beans,90,90,1,2
vioscreen_f_other,90,90,1,2
vioscreen_grams,90,90,1,2
vioscreen_glycitn,90,90,1,2
vioscreen_isomalt,90,90,1,2
vioscreen_isoleuc,90,90,1,2
vioscreen_iron,90,90,1,2
vioscreen_inositol,90,90,1,2
vioscreen_histidin,90,90,1,2
vioscreen_height,90,90,1,2
vioscreen_hei_whl_grains,90,90,1,2
vioscreen_hei_veg,90,90,1,2
vioscreen_g_total,90,90,1,2
vioscreen_g_nwhl,90,90,1,2
vioscreen_fruit_servings,90,90,1,2
vioscreen_fructose,90,90,1,2
vioscreen_hei_grains,90,90,1,2
vioscreen_hei_fruit,90,90,1,2
vioscreen_hei_non_juice_frt,90,90,1,2
vioscreen_hei_milk,90,90,1,2
vioscreen_hei_meat_beans,90,90,1,2
vioscreen_m_meat,90,90,1,2
vioscreen_m_frank,90,90,1,2
vioscreen_m_fish_lo,90,90,1,2
vioscreen_m_fish_hi,90,90,1,2
vioscreen_m_egg,90,90,1,2
vioscreen_lysine,90,90,1,2
vioscreen_lycopene,90,90,1,2
vioscreen_lutzeax,90,90,1,2
vioscreen_hei2010_fruit,90,90,1,2
vioscreen_hei2010_fatty_acids,90,90,1,2
vioscreen_hei2010_empty_calories,90,90,1,2
vioscreen_hei2010_dairy,90,90,1,2
vioscreen_lactitol,90,90,1,2
vioscreen_juice_servings,90,90,1,2
vioscreen_joules,90,90,1,2
depression_severity_PROMIS,90,90,1,26
vioscreen_mfa201,90,90,1,2
vioscreen_mfa181,90,90,1,2
vioscreen_mfa161,90,90,1,2
vioscreen_mfa141,90,90,1,2
vioscreen_methion,90,90,1,2
vioscreen_hei_sol_fat_alc_add_sug,90,90,1,2
vioscreen_hei_sodium,90,90,1,2
vioscreen_hei_score,90,90,1,2
vioscreen_hei_sat_fat,90,90,1,2
vioscreen_hei_oils,90,90,1,2
vioscreen_magnes,90,90,1,2
vioscreen_m_soy,90,90,1,2
vioscreen_m_poult,90,90,1,2
vioscreen_m_organ,90,90,1,2
vioscreen_m_nutsd,90,90,1,2
vioscreen_m_mpf,90,90,1,2
vioscreen_oxalic,90,90,1,2
vioscreen_omega3,90,90,1,2
vioscreen_nutrient_recommendation,90,90,1,2
vioscreen_non_fried_fish_servings,90,90,1,2
vioscreen_nitrogen,90,90,1,2
vioscreen_low_fat_dairy_serving,90,90,1,2
vioscreen_line_gi,90,90,1,2
vioscreen_leucine,90,90,1,2
vioscreen_legumes,90,90,1,2
vioscreen_lactose,90,90,1,2
vioscreen_multivitamin_freq,90,90,1,2
vioscreen_multivitamin,90,90,1,2
vioscreen_multi_calcium_dose,90,90,1,2
vioscreen_multi_calcium_avg,90,90,1,2
vioscreen_mfatot,90,90,1,2
vioscreen_mfa221,90,90,1,2
vioscreen_potass,90,90,1,2
vioscreen_pinitol,90,90,1,2
vioscreen_phytic,90,90,1,2
vioscreen_phosphor,90,90,1,2
vioscreen_phenylal,90,90,1,2
vioscreen_methhis3,90,90,1,2
vioscreen_mannitol,90,90,1,2
vioscreen_mangan,90,90,1,2
vioscreen_maltose,90,90,1,2
vioscreen_maltitol,90,90,1,2
vioscreen_pfa184,90,90,1,2
vioscreen_pfa183,90,90,1,2
vioscreen_pfa182,90,90,1,2
vioscreen_pectins,90,90,1,2
vioscreen_pantothe,90,90,1,2
vioscreen_oxalicm,90,90,1,2
vioscreen_scfv,90,90,1,2
vioscreen_scf,90,90,1,2
vioscreen_satoco,90,90,1,2
vioscreen_salad_vegetable_servings,90,90,1,2
vioscreen_sacchar,90,90,1,2
vioscreen_niacineq,90,90,1,2
vioscreen_niacin,90,90,1,2
vioscreen_nccglgr,90,90,1,2
vioscreen_nccglbr,90,90,1,2
vioscreen_natoco,90,90,1,2
vioscreen_protveg,90,90,1,2
vioscreen_protocol,90,90,1,2
vioscreen_protein,90,90,1,2
vioscreen_protanim,90,90,1,2
vioscreen_proline,90,90,1,2
vioscreen_procdate,90,90,1,2
vioscreen_sorbitol,90,90,1,2
vioscreen_sodium,90,90,1,2
vioscreen_sfatot,90,90,1,2
vioscreen_sfa80,90,90,1,2
vioscreen_sfa60,90,90,1,2
vioscreen_pfatot,90,90,1,2
vioscreen_pfa226,90,90,1,2
vioscreen_pfa225,90,90,1,2
vioscreen_pfa205,90,90,1,2
vioscreen_pfa204,90,90,1,2
vioscreen_sfa160,90,90,1,2
vioscreen_sfa140,90,90,1,2
vioscreen_sfa120,90,90,1,2
vioscreen_sfa100,90,90,1,2
vioscreen_serine,90,90,1,2
vioscreen_selenium,90,90,1,2
vioscreen_time,90,90,1,2
vioscreen_threonin,90,90,1,2
vioscreen_thiamin,90,90,1,2
vioscreen_tgrain,90,90,1,2
vioscreen_tfa182t,90,90,1,2
vioscreen_ribofla,90,90,1,2
vioscreen_rgrain,90,90,1,2
vioscreen_retinol,90,90,1,2
vioscreen_recno,90,90,1,2
vioscreen_questionnaire,90,90,1,2
vioscreen_sucrlose,90,90,1,2
vioscreen_sucpoly,90,90,1,2
vioscreen_subject_id,90,90,1,2
vioscreen_started,90,90,1,2
vioscreen_starch,90,90,1,2
vioscreen_srvid,90,90,1,2
vioscreen_veg5_day,90,90,1,2
vioscreen_valine,90,90,1,2
vioscreen_v_total,90,90,1,2
vioscreen_v_tomato,90,90,1,2
vioscreen_v_starcy,90,90,1,2
vioscreen_sfa40,90,90,1,2
vioscreen_sfa220,90,90,1,2
vioscreen_sfa200,90,90,1,2
vioscreen_sfa180,90,90,1,2
vioscreen_sfa170,90,90,1,2
vioscreen_tyrosine,90,90,1,2
vioscreen_tryptoph,90,90,1,2
vioscreen_totsugar,90,90,1,2
vioscreen_totfolat,90,90,1,2
vioscreen_totcla,90,90,1,2
vioscreen_totaltfa,90,90,1,2
vioscreen_water,90,90,1,2
vioscreen_vitk,90,90,1,2
vioscreen_vite_iu,90,90,1,2
vioscreen_vitd_iu,90,90,1,2
vioscreen_vitd3,90,90,1,2
vioscreen_tfa181t,90,90,1,2
vioscreen_tfa161t,90,90,1,2
vioscreen_tagatose,90,90,1,2
vioscreen_sweet_servings,90,90,1,2
vioscreen_sucrose,90,90,1,2
vioscreen_adsugtot,90,90,1,2
vioscreen_addsugar,90,90,1,2
vioscreen_add_sug,90,90,1,2
vioscreen_activity_level,90,90,1,2
vioscreen_acesupot,90,90,1,2
vioscreen_a_cal,90,90,1,2
vioscreen_a_bev,90,90,1,2
vioscreen_calcium,90,90,1,2
vioscreen_caffeine,90,90,1,2
vioscreen_bmi,90,90,1,2
vioscreen_biochana,90,90,1,2
vioscreen_betatoco,90,90,1,2
vioscreen_betaine,90,90,1,2
vioscreen_betacryp,90,90,1,2
vioscreen_betacar,90,90,1,2
vioscreen_bcodeid,90,90,1,2
vioscreen_alphtoce,90,90,1,2
vioscreen_vitd2,90,90,1,2
vioscreen_vitd,90,90,1,2
vioscreen_vitc,90,90,1,2
vioscreen_vitb6,90,90,1,2
vioscreen_vitb12,90,90,1,2
vioscreen_vita_re,90,90,1,2
vioscreen_vita_rae,90,90,1,2
vioscreen_vita_iu,90,90,1,2
vioscreen_visit,90,90,1,2
vioscreen_vegsumm,90,90,1,2
vioscreen_vegetable_servings,90,90,1,2
vioscreen_zinc,90,90,1,2
vioscreen_xylitol,90,90,1,2
vioscreen_whole_grain_servings,90,90,1,2
vioscreen_wgrain,90,90,1,2
humans_free_text,89,89,1,1
CHC_or_placebo_pill,88,88,1,2
other_nonbiologic_therapy,88,88,1,69
alb_g_per_dl,87,87,1,17
crp_mg_dl,86,86,1,31
mayo_endo,86,86,1,5
partial_mayo,85,85,1,18
Total_OTU R1,85,85,1,66
Total 16S amplified (ng),85,85,1,82
Sequence Pool,85,85,1,2
Sample Replicate,85,85,1,2
Rxn Vol  (uL),85,85,1,2
Rxn Conditiond,85,85,1,2
Bacteria_OTU R2,85,85,1,43
Total_OTU R2,85,85,1,55
Bacteria_OTU R1,85,85,1,66
Qualified_paired_Read,85,85,1,83
Patient Id,85,85,1,1
PCR plate,85,85,1,4
Original_paired_Read,85,85,1,85
NGS Project Id,85,85,1,1
Median_length(R1 / R2),85,85,1,15
Extraction method,85,85,1,2
DNA input 16S RXN (ng),85,85,1,13
Barcode Sequence,85,85,1,85
time (s),85,85,1,1
speed,85,85,1,1
Trimmomatic_read(R1 / R2),85,85,1,83
Trimmomatic_read R2,85,85,1,85
Trimmomatic_read R1,85,85,1,85
response,85,85,1,2
SDS,84,84,1,29
HAM_A,84,84,1,24
HADS_total,84,84,1,26
HAM_D,84,84,1,22
HADS_A,84,84,1,16
SAS,84,84,1,30
HAM_mean,84,84,1,34
HADS_D,84,84,1,14
stool_freq,84,84,1,10
uceis,84,84,1,9
sample_area,84,84,1,1
volume_ml,84,84,1,7
volume_ml2,84,84,1,4
host_hip_circumference,84,84,1,52
host_waist_circumference,84,84,1,56
host_mass,84,84,1,76
collection_type,84,84,1,3
preservation method,84,84,1,2
rectal_bleeding,83,83,1,6
sample_attribute,83,83,1,83
pga,83,83,1,5
organism_isolated,82,82,1,7
days_adm_to_swab,82,82,1,19
CULTURE_SOURCE,82,82,1,9
ADOS,82,82,1,11
ATEC,82,82,1,35
abx,82,82,1,2
StdADOS,82,82,1,10
GI score,82,82,1,10
PDDBI,82,82,1,36
host_country_of_origin,82,82,1,29
ADOS_module,82,82,1,5
cephalosporin,82,82,1,2
central_line,82,82,1,2
pressors,82,82,1,2
case,82,82,1,2
albumin_baseline,82,82,1,30
aza,81,81,1,65
16sDNA_copies_per_ng,81,81,1,79
sample_category,80,80,1,2
sequencing_type,80,80,1,1
rural_urban_status,80,80,1,2
anxiety_index2,79,79,1,26
anxiety_index1,79,79,1,23
Group1,79,79,1,79
depression_status,79,79,1,4
depression_level,79,79,1,29
historical_disease_extent,79,79,1,6
Experimental Conditions,79,79,1,3
sample_title:sample_name,79,79,1,79
rRNA removal,79,79,1,1
Euk mRNA removal,79,79,1,1
individual_sample,78,78,1,5
analyis,78,78,1,2
alt_elev,78,78,1,1
location_of_dna_extraction,78,78,1,2
sample number,78,78,1,78
Z.scoreBMI,78,78,1,71
calcium,78,78,1,29
carbohydrates,78,78,1,27
iron,78,78,1,28
fiber,78,78,1,12
fat,78,78,1,26
asd_numeric,78,78,1,2
source material identifier,76,76,1,76
TimePoint,76,76,1,2
Storage_type,76,76,1,2
age in years,76,76,1,11
stress_level,75,75,1,20
sample_identifier,75,75,1,75
host_age (months),75,75,1,10
study_id,75,75,1,38
Age (weeks),75,75,1,51
stress_status,75,75,1,3
HAEC,75,75,1,2
Body weight (kg),75,75,1,30
Caesarean Birth,75,75,1,2
EBF,75,75,1,2
chemotherapy_type,74,74,1,13
Site,74,74,1,2
new_metabolomics_weight,73,73,1,57
extrachrom_elements,73,73,1,1
phenotype,73,73,1,1
breed,73,73,1,1
loose_stool,73,73,1,7
new_genomics_aliquot,73,73,1,2
trophic_level,73,73,1,1
subspecf_gen_lin,73,73,1,1
pulse,73,73,1,1
constipation,73,73,1,8
last_meal,73,73,1,1
LDH_in_U_per_L,72,72,1,51
bloating,72,72,1,7
FE_in_ug_per_dL,72,72,1,54
abdominal_pain,72,72,1,7
RETI_in_G_per_L,72,72,1,69
HGB_in_g_per_dL,72,72,1,31
FERR_in_ug_per_L,72,72,1,63
HAPTO_in_mg_per_dL,72,72,1,64
CRP_in_mg_per_dL,72,72,1,24
RETIR_percentage,72,72,1,55
STFR_in_mg_per_L,72,72,1,47
gi_symptoms,72,72,1,3
COER_in_mg_per_dL,72,72,1,59
KREA_in_mg_per_dL,72,72,1,36
RBC_in_T_per_L,72,72,1,10
WBC_in_G_per_L,72,72,1,66
TRF_in_mg_per_dL,72,72,1,59
seqdepth,71,71,1,71
shannonh,71,71,1,65
condition,71,71,1,5
chao1,71,71,1,57
observed,71,71,1,50
Saturated_fat_intake,71,71,1,2
iga_sort,71,71,1,5
invsimp,71,71,1,65
id-sample,71,71,1,71
study_subject,71,71,1,24
dmm-ass,71,71,1,3
cakequan,70,70,1,2
ricefreq,70,70,1,6
ricequan,70,70,1,3
saladdressingfreq,70,70,1,5
salsafreq,70,70,1,6
saltysnacksfreq,70,70,1,7
saltysnacksquan,70,70,1,3
slurpeefreq,70,70,1,4
anyfishfreq,70,70,1,4
bananasquan,70,70,1,3
applespearsquan,70,70,1,3
asian,70,70,1,2
baconfreq,70,70,1,5
barsfreq,70,70,1,5
bananasfreq,70,70,1,6
beanspeasfreq,70,70,1,6
barsquan,70,70,1,3
beefquan,70,70,1,2
biscuitsfreq,70,70,1,5
beanspeasquan,70,70,1,2
burgerquan,70,70,1,3
broccoliquan,70,70,1,3
burgerfreq,70,70,1,4
candyfreq,70,70,1,7
candyquan,70,70,1,3
cannedfruitfreq,70,70,1,6
cannedfruitquan,70,70,1,2
carrotsfreq,70,70,1,7
burgertype,70,70,1,3
cakefreq,70,70,1,4
beeffreq,70,70,1,3
blackafrican,70,70,1,2
biscuitsquan,70,70,1,3
hamburgerhelperquan,70,70,1,2
hamfreq,70,70,1,7
cheesequan,70,70,1,3
chocmilkfreq,70,70,1,7
chocmilkquan,70,70,1,3
chocolatecandyfreq,70,70,1,6
chocolatecandyquan,70,70,1,2
coldcerealcode,70,70,1,4
vitaminpilldaysamount,70,70,1,4
vitaminregularuse,70,70,1,3
white,70,70,1,2
whitebreadfreq,70,70,1,7
whitebreadquan,70,70,1,3
whitepotatoesfreq,70,70,1,3
whitepotatoesquan,70,70,1,3
wholewheatbreadfreq,70,70,1,7
wholewheatbreadquan,70,70,1,3
fermented_produce_commercial,70,70,1,2
fermented_produce_personal,70,70,1,2
cookedcerealquan,70,70,1,2
cookiesfreq,70,70,1,5
cookiesquan,70,70,1,3
cornfreq,70,70,1,4
cornquan,70,70,1,2
crackersfreq,70,70,1,7
crackersquan,70,70,1,3
carrotsquan,70,70,1,2
cheesefreq,70,70,1,7
anyfishquan,70,70,1,3
cheesedishfreq,70,70,1,6
broccolifreq,70,70,1,5
cheesedishquan,70,70,1,3
refriedbeansquan,70,70,1,2
applespearsfreq,70,70,1,6
hicfreq,70,70,1,2
heightinches,70,70,1,13
hawaiianpunchfreq,70,70,1,4
hamquan,70,70,1,3
hawaiianpunchquan,70,70,1,3
heightfeet,70,70,1,4
otherethnicity,70,70,1,2
hicquan,70,70,1,2
hispanic,70,70,1,2
EOS_in_G_per_L,70,70,1,6
greensfreq,70,70,1,5
hamburgerhelperfreq,70,70,1,2
greensquan,70,70,1,2
BASO_in_G_per_L,70,70,1,2
eggsquan,70,70,1,3
eggsfreq,70,70,1,6
doughnutsquan,70,70,1,3
doughnutsfreq,70,70,1,3
diet_questionnaire_date,70,70,1,47
margarinequan,70,70,1,3
margarinefreq,70,70,1,7
jellyfreq,70,70,1,6
icecreamquan,70,70,1,1
cookedcerealfreq,70,70,1,5
coldcerealquan,70,70,1,2
coldcerealfreq,70,70,1,6
hotdogfreq,70,70,1,5
greensaladquan,70,70,1,2
greensaladfreq,70,70,1,6
friedchickenfreq,70,70,1,5
orangejuicefreq,70,70,1,6
orangejuicequan,70,70,1,2
orangesfreq,70,70,1,4
orangesquan,70,70,1,3
hotpocketfreq,70,70,1,2
hotdogquan,70,70,1,3
pintobeansquan,70,70,1,3
icecreamfreq,70,70,1,5
mayofreq,70,70,1,5
milkoncerealfreq,70,70,1,7
pizzafreq,70,70,1,7
pizzaquan,70,70,1,3
nachosfreq,70,70,1,4
nachosquan,70,70,1,3
notfriedchickenfreq,70,70,1,5
nativeindian,70,70,1,2
otherfruitfreq,70,70,1,6
otherfruitquan,70,70,1,3
notfriedchickenquan,70,70,1,3
nutsfreq,70,70,1,7
friedchickenquan,70,70,1,3
friesfreq,70,70,1,5
friesquan,70,70,1,3
sodaamount,70,70,1,3
refriedbeansfreq,70,70,1,5
reducedfatmilkquan,70,70,1,3
softdrinksfreq,70,70,1,4
nutsquan,70,70,1,2
otherveggiesfreq,70,70,1,7
othersoupquan,70,70,1,2
pancakefreq,70,70,1,6
pancakequan,70,70,1,3
veggiesoupquan,70,70,1,2
porkfreq,70,70,1,3
porkquan,70,70,1,3
reducedfatmilkfreq,70,70,1,6
MONO_in_G_per_L,70,70,1,6
LYM_in_G_per_L,70,70,1,20
NEU_in_G_per_L,70,70,1,38
otherveggiesquan,70,70,1,2
otherjuicequan,70,70,1,3
othersoupfreq,70,70,1,6
otherjuicefreq,70,70,1,6
softdrinksquan,70,70,1,2
peanutbutterfreq,70,70,1,6
piequan,70,70,1,2
veggiesoupfreq,70,70,1,3
pintobeansfreq,70,70,1,6
tomatoesfreq,70,70,1,5
tomatoesquan,70,70,1,3
tortillasfreq,70,70,1,6
tortillasquan,70,70,1,2
typeofmilk,70,70,1,6
piefreq,70,70,1,4
peanutbutterquan,70,70,1,3
tacotype,70,70,1,3
spaghettiquan,70,70,1,3
strawberryfreq,70,70,1,6
strawberryquan,70,70,1,3
sweetpotatoesfreq,70,70,1,5
sweetpotatoesquan,70,70,1,2
tacosfreq,70,70,1,5
tacosquan,70,70,1,3
spaghettifreq,70,70,1,5
days_from_onset_to_sample,69,69,1,28
UC_Endoscopic_Mayo_score,69,69,1,4
diabetes_onset,69,69,1,63
fermented_consumed,69,69,1,2
age_at_onset,69,69,1,69
ace,69,69,1,59
gestation_weeks,68,68,1,9
radiation_received,67,67,1,1
Dx_Bin,67,67,1,1
lesion,67,67,1,1
Diabetic.1,67,67,1,1
fit_followUp,67,67,1,22
Disease_Free,67,67,1,3
Diagnosis,67,67,1,1
chemo_received,67,67,1,1
Smoke.1,67,67,1,1
Fermentation,66,66,1,2
Patient_code,66,66,1,66
mp,65,65,1,48
replicates,64,64,1,64
id-biopsy,64,64,1,64
EDSS,64,64,1,12
"gender(1:M,2:F)",64,64,1,2
test_substrate,63,63,1,10
WF002exptSample_number,63,63,1,63
test_substrate_form,63,63,1,4
FaecalDonor,63,63,1,1
host_hiv_stat,62,62,1,2
host_HIVprofile,62,62,1,3
host_RiskGroup,62,62,1,5
thyroid_stimulating_hormone,62,62,1,57
TIME_POINT,62,62,1,2
SUBJECT,62,62,1,59
ID,60,60,1,60
study,60,60,1,1
pulmonary_disord,60,60,1,3
any_other_relevant_information,60,60,1,1
extraction,60,60,1,8
Library ID,59,59,1,59
ICP_serum_Fe,59,59,1,59
ICP_serum_Cu,59,59,1,59
viral_load_value,58,58,1,27
hiv,58,58,1,3
visit number,58,58,1,5
reason_for_visit,58,58,1,4
time_from_first_sample_months,57,57,1,22
extra_intestinal_manifest_ation,57,57,1,5
special_diets,57,57,1,29
Collection time point of faecal incubation,56,56,1,2
sample_symptoms,56,56,1,6
ICP_soluble_stool_Fe_in_ug_per_L,55,55,1,55
pre_or_post_travel_sample_collection,55,55,1,2
travelers_diarrhea,55,55,1,3
gestation_state,54,54,1,2
foetal_health_stat,54,54,1,2
blood_blood_disord,54,54,1,10
CD8_count(cells/ul),54,54,1,54
CD4_count(cells/ul),54,54,1,51
Viral_load (copies/ml),54,54,1,37
amniotic_fluid_color,54,54,1,1
delivery,53,53,1,2
antibiotics_past_6_months,53,53,1,3
Co-trimoxazole duration (mths),53,53,1,15
ART_start_date,53,53,1,52
mtx,53,53,1,41
gamma-Amino-N-butyric-acid,52,52,1,26
choline,52,52,1,43
carnitine,52,52,1,47
alpha-Aminoadipic-acid,52,52,1,51
pcr_cycle,52,52,1,1
betaine,52,52,1,46
polymerase,52,52,1,1
tma,52,52,1,41
Methionine,52,52,1,43
Tryptophan,52,52,1,49
Aspartic Acid,52,52,1,35
